file                                                     format  type     num_seqs         sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
LV7001883317-LV7001308379-CGG3-017666_S90.cleaned.fq.gz  FASTQ   DNA    58,609,785   4,269,828,955       30     72.9      194   38   62  101        0  101   94.74   91.49
LV7001883318-LV7001308362-CGG3-017658_S82.cleaned.fq.gz  FASTQ   DNA    61,980,306   5,486,827,035       30     88.5      194   55  101  101        0  101   94.25   90.05
LV7001883319-LV7001308345-CGG3-017650_S74.cleaned.fq.gz  FASTQ   DNA    79,423,574   6,789,015,671       30     85.5      194   51   88  101        0  101   97.44   94.74
LV7001883320-LV7001308375-CGG3-017642_S66.cleaned.fq.gz  FASTQ   DNA    53,129,276   3,870,353,679       30     72.8      194   42   65  101        0   97   93.22   89.95
LV7001883321-LV7001308358-CGG3-017634_S58.cleaned.fq.gz  FASTQ   DNA    44,388,955   2,875,320,856       30     64.8      194   37   53   95        0   84   89.81   86.21
LV7001883322-LV7001308341-CGG3-017626_S50.cleaned.fq.gz  FASTQ   DNA    55,372,237   3,448,220,696       30     62.3      194   36   50   90        0   78   89.98   86.41
LV7001883323-LV7001308320-CGG3-017620_S42.cleaned.fq.gz  FASTQ   DNA    91,440,464   7,389,362,148       30     80.8      194   46   92  101        0  101   93.05   88.75
LV7001883324-LV7001308307-CGG3-016658_S34.cleaned.fq.gz  FASTQ   DNA   101,705,756   9,782,372,381       30     96.2      194   73  101  101        0  101   95.32   90.95
LV7001883325-LV7001308331-CGG3-016645_S26.cleaned.fq.gz  FASTQ   DNA    75,919,657   6,352,495,653       30     83.7      194   48   97  101        0  101   93.21   88.76
LV7001883326-LV7001308238-CGG3-017508_S18.cleaned.fq.gz  FASTQ   DNA    53,953,660   3,629,284,635       30     67.3      194   37   53  101        0   97   95.26   92.06
LV7001883327-LV7001308225-CGG3-017420_S10.cleaned.fq.gz  FASTQ   DNA   116,852,871  10,495,862,414       30     89.8      194   58  101  101        0  101   97.28    93.4
LV7001883328-LV7001308221-CGG3-017396_S2.cleaned.fq.gz   FASTQ   DNA    76,947,005   6,532,872,268       30     84.9      194   51   85  101        0  101   98.49    96.3
LV7001883329-LV7001308340-CGG3-017667_S91.cleaned.fq.gz  FASTQ   DNA    54,950,255   4,195,897,056       30     76.4      194   41   71  101        0  101   93.66   89.59
LV7001883330-LV7001308370-CGG3-017659_S83.cleaned.fq.gz  FASTQ   DNA    55,488,913   4,859,670,132       30     87.6      194   55  101  101        0  101   92.69   88.02
LV7001883331-LV7001308353-CGG3-017651_S75.cleaned.fq.gz  FASTQ   DNA    67,707,022   5,960,918,790       30       88      194   55   97  101        0  101   95.34      92
LV7001883332-LV7001308336-CGG3-017643_S67.cleaned.fq.gz  FASTQ   DNA    66,222,581   5,570,769,307       30     84.1      194   50   91  101        0  101   97.15   94.01
LV7001883333-LV7001308366-CGG3-017635_S59.cleaned.fq.gz  FASTQ   DNA    69,895,374   5,149,239,591       30     73.7      194   40   66  101        0  101    94.1   90.43
LV7001883334-LV7001308349-CGG3-017627_S51.cleaned.fq.gz  FASTQ   DNA    61,957,432   4,578,717,995       30     73.9      194   41   67  101        0  101   93.02    89.3
LV7001883335-LV7001308328-CGG3-017621_S43.cleaned.fq.gz  FASTQ   DNA    56,122,062   3,540,402,569       30     63.1      194   37   50   93        0   81   91.33   87.59
LV7001883336-LV7001308294-CGG3-016660_S35.cleaned.fq.gz  FASTQ   DNA    99,928,198   9,258,885,625       30     92.7      194   67  101  101        0  101   94.78   90.13
LV7001883337-LV7001308313-CGG3-016647_S27.cleaned.fq.gz  FASTQ   DNA    89,766,406   8,344,620,072       30       93      194   69  101  101        0  101   93.63   88.75
LV7001883338-LV7001308312-CGG3-016617_S19.cleaned.fq.gz  FASTQ   DNA    34,380,679   1,722,413,194       30     50.1      194   34   41   56        0   50   86.63   83.03
LV7001883339-LV7001308219-CGG3-017431_S11.cleaned.fq.gz  FASTQ   DNA    87,750,468   8,042,596,907       30     91.7      194   63  101  101        0  101   95.38    91.1
LV7001883340-LV7001308198-CGG3-017399_S3.cleaned.fq.gz   FASTQ   DNA    72,506,740   6,581,329,756       30     90.8      194   58  101  101        0  101   97.82   94.81
LV7001883341-LV7001308348-CGG3-017668_S92.cleaned.fq.gz  FASTQ   DNA    53,198,068   3,646,504,742       30     68.5      194   38   54  101        0   94   98.16   95.82
LV7001883342-LV7001308378-CGG3-017660_S84.cleaned.fq.gz  FASTQ   DNA    43,655,484   4,137,420,453       30     94.8      194   69  101  101        0  101   90.69   85.27
LV7001883343-LV7001308361-CGG3-017652_S76.cleaned.fq.gz  FASTQ   DNA    55,784,425   4,849,366,062       30     86.9      194   54   96  101        0  101   94.24    90.5
LV7001883344-LV7001308344-CGG3-017644_S68.cleaned.fq.gz  FASTQ   DNA    73,268,666   6,317,654,786       30     86.2      194   54  101  101        0  101   94.18   89.82
LV7001883345-LV7001308374-CGG3-017636_S60.cleaned.fq.gz  FASTQ   DNA    40,696,014   2,796,542,352       30     68.7      194   37   57  101        0   97   91.25   87.47
LV7001883346-LV7001308357-CGG3-017628_S52.cleaned.fq.gz  FASTQ   DNA    71,793,161   5,358,512,624       30     74.6      194   40   71  101        0  101   91.79   87.58
LV7001883347-LV7001308329-CGG3-017622_S44.cleaned.fq.gz  FASTQ   DNA    41,429,853   2,444,150,368       30       59      194   36   48   78        0   68   90.49   86.96
LV7001883348-LV7001308292-CGG3-016662_S36.cleaned.fq.gz  FASTQ   DNA    99,158,054   8,959,336,501       30     90.4      194   62  101  101        0  101    94.3   89.55
LV7001883349-LV7001308303-CGG3-016649_S28.cleaned.fq.gz  FASTQ   DNA    88,786,445   8,310,177,362       30     93.6      194   67  101  101        0  101   96.55   92.51
LV7001883350-LV7001308327-CGG3-016628_S20.cleaned.fq.gz  FASTQ   DNA    56,013,694   3,997,044,734       30     71.4      194   39   61  101        0  100   92.13   88.47
LV7001883351-LV7001308298-CGG3-017442_S12.cleaned.fq.gz  FASTQ   DNA    86,073,334   7,797,013,365       30     90.6      194   60  101  101        0  101   96.19    92.1
LV7001883352-LV7001308222-CGG3-017402_S4.cleaned.fq.gz   FASTQ   DNA    73,220,635   6,816,519,036       30     93.1      194   64  101  101        0  101   97.68   94.18
LV7001883365-LV7001308356-CGG3-017669_S93.cleaned.fq.gz  FASTQ   DNA    56,914,792   4,028,947,385       30     70.8      194   38   58  101        0  101    93.2   89.42
LV7001883366-LV7001308339-CGG3-017661_S85.cleaned.fq.gz  FASTQ   DNA    41,665,724   3,857,395,639       30     92.6      194   65  101  101        0  101   89.96   84.37
LV7001883367-LV7001308369-CGG3-017653_S77.cleaned.fq.gz  FASTQ   DNA    46,599,146   4,283,108,890       30     91.9      194   62  101  101        0  101   94.56   90.45
LV7001883368-LV7001308352-CGG3-017645_S69.cleaned.fq.gz  FASTQ   DNA    66,527,528   4,613,246,274       30     69.3      194   41   60   98        0   87   93.11   90.09
LV7001883369-LV7001308335-CGG3-017637_S61.cleaned.fq.gz  FASTQ   DNA    60,525,592   4,375,593,405       30     72.3      194   38   65  101        0  101   91.39   87.14
LV7001883370-LV7001308365-CGG3-017629_S53.cleaned.fq.gz  FASTQ   DNA    71,849,827   5,146,484,988       30     71.6      194   39   63  101        0  101   91.83   87.98
LV7001883371-LV7001308305-CGG3-017623_S45.cleaned.fq.gz  FASTQ   DNA    44,338,536   2,876,340,543       30     64.9      194   37   53   95        0   84    90.5   86.87
LV7001883372-LV7001308300-CGG3-016664_S37.cleaned.fq.gz  FASTQ   DNA    69,009,277   5,548,687,231       30     80.4      194   50   82  101        0  101   93.97   89.83
LV7001883373-LV7001308323-CGG3-016651_S29.cleaned.fq.gz  FASTQ   DNA    70,931,722   6,551,915,242       30     92.4      194   66  101  101        0  101   94.29   89.58
LV7001883374-LV7001308319-CGG3-016635_S21.cleaned.fq.gz  FASTQ   DNA    70,182,301   5,687,667,430       30       81      194   46   91  101        0  101   92.26   87.75
LV7001883375-LV7001308322-CGG3-017453_S13.cleaned.fq.gz  FASTQ   DNA    67,913,654   6,104,700,421       30     89.9      194   60  101  101        0  101   92.63   87.72
LV7001883376-LV7001308199-CGG3-017405_S5.cleaned.fq.gz   FASTQ   DNA   126,434,012  12,001,069,132       30     94.9      194   76  101  101        0  101   93.68   88.64
LV7001883377-LV7001308364-CGG3-017670_S94.cleaned.fq.gz  FASTQ   DNA    58,573,079   4,740,137,380       30     80.9      194   47   83  101        0  101   94.17   90.32
LV7001883378-LV7001308347-CGG3-017662_S86.cleaned.fq.gz  FASTQ   DNA    51,863,476   4,603,261,294       30     88.8      194   54  101  101        0  101   94.07    89.6
LV7001883379-LV7001308377-CGG3-017654_S78.cleaned.fq.gz  FASTQ   DNA    58,162,414   5,171,140,578       30     88.9      194   56  101  101        0  101   94.21   90.27
LV7001883380-LV7001308360-CGG3-017646_S70.cleaned.fq.gz  FASTQ   DNA    55,048,062   3,894,645,676       30     70.7      194   42   63  101        0   90    92.7   89.53
LV7001883381-LV7001308343-CGG3-017638_S62.cleaned.fq.gz  FASTQ   DNA    51,217,552   3,390,129,774       30     66.2      194   39   55   96        0   84   91.89   88.48
LV7001883382-LV7001308373-CGG3-017630_S54.cleaned.fq.gz  FASTQ   DNA    69,396,255   4,505,477,427       30     64.9      194   38   52   90        0   79   98.73      97
LV7001883383-LV7001308297-CGG3-017624_S46.cleaned.fq.gz  FASTQ   DNA    50,764,493   3,451,318,710       30       68      194   38   57  101        0   93    90.8   86.97
LV7001883384-LV7001308306-CGG3-016666_S38.cleaned.fq.gz  FASTQ   DNA    70,823,001   6,436,078,721       30     90.9      194   62  101  101        0  101   94.39   89.75
LV7001883385-LV7001308314-CGG3-016652_S30.cleaned.fq.gz  FASTQ   DNA    75,555,294   7,020,046,298       30     92.9      194   63  101  101        0  101   97.27   93.76
LV7001883386-LV7001308318-CGG3-016637_S22.cleaned.fq.gz  FASTQ   DNA    56,256,792   4,033,355,862       30     71.7      194   40   62  101        0  101   91.69   87.96
LV7001883387-LV7001308281-CGG3-017464_S14.cleaned.fq.gz  FASTQ   DNA    62,990,700   4,741,675,943       30     75.3      194   40   67  101        0  101   97.77   94.84
LV7001883388-LV7001308223-CGG3-017408_S6.cleaned.fq.gz   FASTQ   DNA    86,034,033   8,047,404,522       30     93.5      194   67  101  101        0  101   97.44   93.73
LV7001883389-LibPTC22101201-LibPTC_S95.cleaned.fq.gz     FASTQ   DNA           876          47,915       30     54.7      192   36   44   65        0   56   98.56   97.79
LV7001883390-LV7001308355-CGG3-017663_S87.cleaned.fq.gz  FASTQ   DNA    53,214,003   4,616,715,890       30     86.8      194   51  101  101        0  101   91.32   86.18
LV7001883391-LV7001308338-CGG3-017655_S79.cleaned.fq.gz  FASTQ   DNA    47,690,287   4,318,145,422       30     90.5      194   60  101  101        0  101   93.64   89.02
LV7001883392-LV7001308368-CGG3-017647_S71.cleaned.fq.gz  FASTQ   DNA    60,526,084   4,788,697,808       30     79.1      194   47   77  101        0  101   94.51   91.23
LV7001883393-LV7001308351-CGG3-017639_S63.cleaned.fq.gz  FASTQ   DNA    43,272,002   2,516,675,716       30     58.2      194   37   48   75        0   65   88.58   85.37
LV7001883394-LV7001308334-CGG3-017631_S55.cleaned.fq.gz  FASTQ   DNA    55,520,067   3,518,690,557       30     63.4      194   37   51   92        0   80   92.35   89.09
LV7001883395-ExrPTC22101201-ExrPTC_S47.cleaned.fq.gz     FASTQ   DNA        27,295       1,465,004       30     53.7      194   36   45   62        0   55   99.42   98.68
LV7001883396-LV7001308240-CGG3-016668_S39.cleaned.fq.gz  FASTQ   DNA    81,351,680   7,068,791,916       30     86.9      194   55  101  101        0  101   94.29   89.83
LV7001883397-LV7001308304-CGG3-016653_S31.cleaned.fq.gz  FASTQ   DNA    99,398,943   9,418,857,419       30     94.8      194   71  101  101        0  101    95.2   90.92
LV7001883398-LV7001308299-CGG3-016639_S23.cleaned.fq.gz  FASTQ   DNA    61,561,864   4,456,642,750       30     72.4      194   40   63  101        0  101   92.31   88.57
LV7001883399-LV7001308275-CGG3-017475_S15.cleaned.fq.gz  FASTQ   DNA    80,465,386   7,193,916,671       30     89.4      194   58  101  101        0  101    94.2   89.48
LV7001883400-LV7001308200-CGG3-017411_S7.cleaned.fq.gz   FASTQ   DNA    88,877,322   8,362,286,197       30     94.1      194   68  101  101        0  101   97.46   93.76
LV7001883402-LV7001308363-CGG3-017664_S88.cleaned.fq.gz  FASTQ   DNA    49,460,618   4,052,202,980       30     81.9      194   44   96  101        0  101   86.02      80
LV7001883403-LV7001308346-CGG3-017656_S80.cleaned.fq.gz  FASTQ   DNA    52,216,930   4,560,784,469       30     87.3      194   54  100  101        0  101   92.61   88.07
LV7001883404-LV7001308376-CGG3-017648_S72.cleaned.fq.gz  FASTQ   DNA    55,595,107   4,052,980,381       30     72.9      194   43   66  101        0   92   94.45   91.69
LV7001883405-LV7001308359-CGG3-017640_S64.cleaned.fq.gz  FASTQ   DNA    44,632,808   2,839,396,690       30     63.6      194   38   53   89        0   78   90.55   87.21
LV7001883406-LV7001308342-CGG3-017632_S56.cleaned.fq.gz  FASTQ   DNA    48,989,507   3,238,802,660       30     66.1      194   37   54  101        0   90   91.21   87.42
LV7001883407-ExrNTC22101201-ExrNTC_S48.cleaned.fq.gz     FASTQ   DNA       352,362      39,577,850       30    112.3      194  101  101  128        0  101   95.28   90.18
LV7001883408-LV7001308256-CGG3-016670_S40.cleaned.fq.gz  FASTQ   DNA    75,852,450   6,924,817,205       30     91.3      194   65  101  101        0  101   93.94   89.05
LV7001883409-LV7001308315-CGG3-016654_S32.cleaned.fq.gz  FASTQ   DNA    76,621,902   7,527,857,899       30     98.2      194   92  101  101        0  101   93.08   87.76
LV7001883410-LV7001308321-CGG3-016641_S24.cleaned.fq.gz  FASTQ   DNA    56,336,720   4,456,227,851       30     79.1      194   44   82  101        0  101   93.25    89.3
LV7001883411-LV7000631925-CGG3-017486_S16.cleaned.fq.gz  FASTQ   DNA    46,958,063   4,362,410,927       30     92.9      194   70  101  101        0  101   93.74   88.74
LV7001883412-LV7001308224-CGG3-017414_S8.cleaned.fq.gz   FASTQ   DNA   165,495,652  15,850,746,400       30     95.8      194   82  101  101        0  101   94.56    89.5
