sample,raw_reads,adpter_removed,fastp_input,fastp_after_filtering,fastp_passed_filters,fastp_too_short,fastp_low complexity
LV7001884300-LV7001308198-CGG3-017399_S3_L003,36845835,42372725,42.354736,35.615758,37.732900,10.701403%,0.210803%
LV7001884300-LV7001308198-CGG3-017399_S3_L004,37012589,42437872,42.420989,35.493193,37.673544,10.975480%,0.215785%
LV7001884301-LV7001308348-CGG3-017668_S92_L001,39929467,42516614,42.490961,28.869345,31.579432,25.592613%,0.087035%
LV7001884301-LV7001308348-CGG3-017668_S92_L002,40454516,43014257,42.990886,29.028040,31.840283,25.852724%,0.084409%
LV7001884301-LV7001308348-CGG3-017668_S92_L003,39683483,42364724,42.339314,28.924136,31.695106,25.056492%,0.083754%
LV7001884301-LV7001308348-CGG3-017668_S92_L004,40122154,42759830,42.735990,28.971126,31.827415,25.442162%,0.083337%
LV7001884302-LV7001308378-CGG3-017660_S84_L001,28160454,33279321,33.266349,26.379460,28.310005,13.153578%,1.745394%
LV7001884302-LV7001308378-CGG3-017660_S84_L002,28537545,33675138,33.663387,26.602783,28.623928,13.251718%,1.718431%
LV7001884302-LV7001308378-CGG3-017660_S84_L003,28254083,33501070,33.488336,26.620955,28.644412,12.755540%,1.708971%
LV7001884302-LV7001308378-CGG3-017660_S84_L004,28494261,33749150,33.737018,26.695316,28.789958,12.967747%,1.695849%
LV7001884303-LV7001308361-CGG3-017652_S76_L001,13578436,16537888,16.532063,12.817610,14.162912,11.903294%,2.427350%
LV7001884303-LV7001308361-CGG3-017652_S76_L002,13752565,16711450,16.706020,12.885942,14.284816,11.898441%,2.594562%
LV7001884303-LV7001308361-CGG3-017652_S76_L003,13817955,16899065,16.893075,13.101448,14.550283,11.363834%,2.504523%
LV7001884303-LV7001308361-CGG3-017652_S76_L004,13944768,17028050,17.022421,13.127025,14.611041,11.641153%,2.524753%
LV7001884304-LV7001308344-CGG3-017644_S68_L001,29862234,36881777,36.868608,28.094596,30.429627,14.408233%,3.056438%
LV7001884304-LV7001308344-CGG3-017644_S68_L002,30217235,37243659,37.231136,28.222142,30.654008,14.445329%,3.220337%
LV7001884304-LV7001308344-CGG3-017644_S68_L003,29978866,37150786,37.137491,28.371064,30.821899,13.893268%,3.112706%
LV7001884304-LV7001308344-CGG3-017644_S68_L004,30290229,37493448,37.480624,28.468176,30.997405,14.136608%,3.160913%
LV7001884305-LV7001308374-CGG3-017636_S60_L001,21887809,25339015,25.327757,15.243861,16.392859,32.392466%,2.884634%
LV7001884305-LV7001308374-CGG3-017636_S60_L002,22450186,25909477,25.898780,15.499135,16.716341,32.632568%,2.822534%
LV7001884305-LV7001308374-CGG3-017636_S60_L003,21734894,25188445,25.177097,15.296422,16.487838,31.703345%,2.809208%
LV7001884305-LV7001308374-CGG3-017636_S60_L004,22258215,25760485,25.749387,15.505556,16.750076,32.150187%,2.799426%
LV7001884306-LV7001308357-CGG3-017628_S52_L001,28336075,33222431,33.210234,20.528757,22.107661,30.709064%,2.722116%
LV7001884306-LV7001308357-CGG3-017628_S52_L002,28724121,33608291,33.597118,20.671377,22.312733,30.848289%,2.739071%
LV7001884306-LV7001308357-CGG3-017628_S52_L003,28061435,32953863,32.941780,20.523460,22.144082,30.064878%,2.713247%
LV7001884306-LV7001308357-CGG3-017628_S52_L004,28432745,33351023,33.339758,20.618505,22.291370,30.411178%,2.727599%
LV7001884307-LV7001308329-CGG3-017622_S44_L001,26366454,29777772,29.762788,15.766621,16.826202,39.717418%,3.748221%
LV7001884307-LV7001308329-CGG3-017622_S44_L002,26929613,30344803,30.330993,15.957615,17.077207,39.857515%,3.839657%
LV7001884307-LV7001308329-CGG3-017622_S44_L003,26032596,29361717,29.346714,15.637341,16.707931,39.313645%,3.753470%
LV7001884307-LV7001308329-CGG3-017622_S44_L004,26519775,29900212,29.886466,15.805152,16.925646,39.572487%,3.794366%
LV7001884308-LV7001308292-CGG3-016662_S36_L001,30820337,39113557,39.099714,32.556095,34.960855,8.038143%,2.547251%
LV7001884308-LV7001308292-CGG3-016662_S36_L002,31027437,39266407,39.253903,32.548225,35.039295,8.076267%,2.660520%
LV7001884308-LV7001308292-CGG3-016662_S36_L003,31125199,39654817,39.641072,33.000678,35.553587,7.723676%,2.587561%
LV7001884308-LV7001308292-CGG3-016662_S36_L004,31170117,39616849,39.604036,32.805970,35.434559,7.886557%,2.641352%
LV7001884309-LV7001308303-CGG3-016649_S28_L001,31507700,39388348,39.375042,32.805710,34.907792,10.152660%,1.192725%
LV7001884309-LV7001308303-CGG3-016649_S28_L002,31720440,39538188,39.525972,32.778866,34.963651,10.321246%,1.221344%
LV7001884309-LV7001308303-CGG3-016649_S28_L003,31725194,39874347,39.860975,33.262271,35.492450,9.768120%,1.191283%
LV7001884309-LV7001308303-CGG3-016649_S28_L004,31801246,39854130,39.841511,33.069727,35.367003,10.012381%,1.218388%
LV7001884310-LV7001308327-CGG3-016628_S20_L001,29417686,34600747,34.586801,22.737311,24.576106,25.467108%,3.476578%
LV7001884310-LV7001308327-CGG3-016628_S20_L002,29987528,35167882,35.154639,22.963750,24.886854,25.596673%,3.610809%
LV7001884310-LV7001308327-CGG3-016628_S20_L003,29328044,34534008,34.519907,22.816428,24.715781,24.865420%,3.535948%
LV7001884310-LV7001308327-CGG3-016628_S20_L004,29854446,35102030,35.088366,23.004511,24.989028,25.222893%,3.559690%
LV7001884311-LV7001308298-CGG3-017442_S12_L001,26017250,30565961,30.553138,25.097892,26.623962,11.897537%,0.962602%
LV7001884311-LV7001308298-CGG3-017442_S12_L002,26259647,30793865,30.782299,25.184914,26.778050,12.031041%,0.977243%
LV7001884311-LV7001308298-CGG3-017442_S12_L003,26051592,30743056,30.730356,25.303164,26.897537,11.520238%,0.952182%
LV7001884311-LV7001308298-CGG3-017442_S12_L004,26225688,30884476,30.872686,25.292095,26.949685,11.739908%,0.967120%
LV7001884312-LV7001308222-CGG3-017402_S4_L001,34237248,40538722,40.522278,34.565221,36.491078,9.759747%,0.188361%
LV7001884312-LV7001308222-CGG3-017402_S4_L002,34738668,41011889,40.996719,34.811209,36.838307,9.949111%,0.194169%
LV7001884312-LV7001308222-CGG3-017402_S4_L003,34672712,41303430,41.286946,35.263795,37.341716,9.366200%,0.189435%
LV7001884312-LV7001308222-CGG3-017402_S4_L004,35032588,41617133,41.601474,35.344377,37.516649,9.628375%,0.190568%
LV7001884338-LV7001308339-CGG3-017661_S85_L001,36562205,44704951,44.686870,33.444112,36.904493,15.330910%,2.084444%
LV7001884338-LV7001308339-CGG3-017661_S85_L002,36998856,45168635,45.152198,33.630530,37.236334,15.415336%,2.116178%
LV7001884338-LV7001308339-CGG3-017661_S85_L003,36524839,44747828,44.730126,33.546501,37.144494,14.890973%,2.067691%
LV7001884338-LV7001308339-CGG3-017661_S85_L004,36845905,45118907,45.102341,33.646498,37.344056,15.108792%,2.092721%
LV7001884339-LV7001308369-CGG3-017653_S77_L001,11933205,14536236,14.530885,11.363973,12.578073,11.366266%,2.072778%
LV7001884339-LV7001308369-CGG3-017653_S77_L002,12030310,14620691,14.615818,11.372672,12.623521,11.433004%,2.198098%
LV7001884339-LV7001308369-CGG3-017653_S77_L003,12056899,14746026,14.740739,11.533002,12.818005,10.906950%,2.136725%
LV7001884339-LV7001308369-CGG3-017653_S77_L004,12113745,14786327,14.781132,11.503171,12.817075,11.138524%,2.149071%
LV7001884340-LV7001308352-CGG3-017645_S69_L001,23199022,24070842,24.057260,19.349236,20.732325,13.641857%,0.179064%
LV7001884340-LV7001308352-CGG3-017645_S69_L002,23538015,24400702,24.388579,19.541603,20.981057,13.787212%,0.184582%
LV7001884340-LV7001308352-CGG3-017645_S69_L003,23095189,23999780,23.986471,19.336327,20.745107,13.334217%,0.179084%
LV7001884340-LV7001308352-CGG3-017645_S69_L004,23349813,24241957,24.229487,19.435317,20.897700,13.568843%,0.182117%
LV7001884341-LV7001308335-CGG3-017637_S61_L001,26854286,30279922,30.267194,20.481253,21.697487,26.380258%,1.933258%
LV7001884341-LV7001308335-CGG3-017637_S61_L002,27263545,30672368,30.660664,20.648586,21.925721,26.538887%,1.950199%
LV7001884341-LV7001308335-CGG3-017637_S61_L003,26624890,30070505,30.057885,20.460966,21.714876,25.826638%,1.929836%
LV7001884341-LV7001308335-CGG3-017637_S61_L004,27006998,30460052,30.448227,20.572719,21.880485,26.189929%,1.948793%
LV7001884342-LV7001308365-CGG3-017629_S53_L001,31547556,36065245,36.049480,22.431188,24.377595,29.622535%,2.754866%
LV7001884342-LV7001308365-CGG3-017629_S53_L002,32150449,36678816,36.664357,22.702817,24.733665,29.802827%,2.737473%
LV7001884342-LV7001308365-CGG3-017629_S53_L003,31339937,35855048,35.839713,22.457546,24.453572,29.051566%,2.718055%
LV7001884342-LV7001308365-CGG3-017629_S53_L004,31784195,36325987,36.311407,22.570435,24.635085,29.436394%,2.719677%
LV7001884343-LV7001308305-CGG3-017623_S45_L001,27702410,31181296,31.166923,18.430112,19.752789,33.837748%,2.784840%
LV7001884343-LV7001308305-CGG3-017623_S45_L002,28406765,31904536,31.891253,18.731922,20.129946,33.998093%,2.881320%
LV7001884343-LV7001308305-CGG3-017623_S45_L003,27395417,30818406,30.804455,18.324139,19.665682,33.333588%,2.826030%
LV7001884343-LV7001308305-CGG3-017623_S45_L004,28022273,31509365,31.495876,18.587528,19.997321,33.662483%,2.845646%
LV7001884344-LV7001308300-CGG3-016664_S37_L001,26653102,32294869,32.279790,25.847061,27.522133,11.628335%,3.110476%
LV7001884344-LV7001308300-CGG3-016664_S37_L002,26987542,32603721,32.589842,26.003350,27.759466,11.588565%,3.233158%
LV7001884344-LV7001308300-CGG3-016664_S37_L003,26624120,32328554,32.313678,25.927862,27.665413,11.224006%,3.160816%
LV7001884344-LV7001308300-CGG3-016664_S37_L004,26966032,32697619,32.683225,26.099126,27.915746,11.396504%,3.190426%
LV7001884345-LV7001308323-CGG3-016651_S29_L001,27972053,33374669,33.362014,27.281330,29.251728,10.642301%,1.677956%
LV7001884345-LV7001308323-CGG3-016651_S29_L002,28277007,33628172,33.616516,27.381424,29.431996,10.732760%,1.715050%
